iter	Passed	Remaining
0	2	265
1	5	249
2	7	246
3	10	241
4	12	237
5	15	236
6	17	234
7	20	230
8	22	231
9	25	229
10	28	227
11	30	223
12	33	222
13	36	222
14	38	219
15	41	215
16	43	211
17	45	209
18	48	206
19	51	204
20	53	201
21	56	198
22	59	198
23	63	199
24	66	198
25	68	195
26	71	192
27	73	189
28	76	187
29	78	184
30	81	181
31	83	178
32	86	175
33	89	173
34	92	171
35	94	168
36	97	165
37	99	162
38	102	160
39	105	158
40	107	155
41	108	150
42	111	147
43	114	145
44	117	143
45	119	140
46	122	137
47	125	135
48	127	132
49	130	130
50	132	127
51	135	124
52	137	122
53	140	119
54	142	116
55	144	113
56	147	111
57	149	108
58	152	105
59	155	103
60	157	100
61	160	98
62	163	95
63	165	92
64	167	90
65	170	87
66	173	85
67	175	82
68	178	80
69	180	77
70	183	74
71	186	72
72	189	70
73	191	67
74	194	64
75	196	62
76	199	59
77	202	57
78	204	54
79	207	51
80	209	49
81	212	46
82	215	44
83	217	41
84	219	38
85	222	36
86	225	33
87	227	31
88	230	28
89	232	25
90	235	23
91	238	20
92	240	18
93	243	15
94	245	12
95	248	10
96	250	7
97	253	5
98	255	2
99	258	0
